type,row,col
label1,0,270
label1,0,269
label1,0,268
label1,0,267
label1,0,266
label1,0,265
label1,0,264
label1,0,263
label1,0,262
label1,0,261
label1,0,260
label1,0,259
label1,0,258
label1,0,257
label1,0,256
label1,0,255
label1,0,254
label1,0,253
label1,0,252
label1,0,251
label1,0,250
label1,0,249
label1,0,248
label1,0,247
label1,0,246
label1,0,245
label1,0,244
label1,0,243
label1,0,242
label1,0,241
label1,0,240
label1,0,239
label1,0,238
label1,0,237
label1,0,236
label1,0,235
label1,0,234
label1,0,233
label1,0,232
label1,0,231
label1,0,230
label1,0,229
label1,0,228
label1,0,227
label1,0,226
label1,0,225
label1,0,224
label1,0,223
label1,0,222
label1,0,221
label1,0,220
label1,0,219
label1,0,218
label1,0,217
label1,0,216
label1,0,215
label1,0,214
label1,0,213
label1,0,212
label1,0,211
label1,0,210
label1,0,209
label1,0,208
label1,0,207
label1,0,206
label1,0,205
label1,0,204
label1,0,203
label1,0,202
label1,0,201
label1,0,200
label1,1,270
label1,1,269
label1,1,268
label1,1,267
label1,1,266
label1,1,265
label1,1,264
label1,1,263
label1,1,262
label1,1,261
label1,1,260
label1,1,259
label1,1,258
label1,1,257
label1,1,256
label1,1,255
label1,1,254
label1,1,253
label1,1,252
label1,1,251
label1,1,250
label1,1,249
label1,1,248
label1,1,247
label1,1,246
label1,1,245
label1,1,244
label1,1,243
label1,1,242
label1,1,241
label1,1,240
label1,1,239
label1,1,238
label1,1,237
label1,1,236
label1,1,235
label1,1,234
label1,1,233
label1,1,232
label1,1,231
label1,1,230
label1,1,229
label1,1,228
label1,1,227
label1,1,226
label1,1,225
label1,1,224
label1,1,223
label1,1,222
label1,1,221
label1,1,220
label1,1,219
label1,1,218
label1,1,217
label1,1,216
label1,1,215
label1,1,214
label1,1,213
label1,1,212
label1,1,211
label1,1,210
label1,1,209
label1,1,208
label1,1,207
label1,1,206
label1,1,205
label1,1,204
label1,1,203
label1,1,202
label1,1,201
label1,1,200
label1,1,199
label1,2,271
label1,2,270
label1,2,269
label1,2,268
label1,2,267
label1,2,266
label1,2,265
label1,2,264
label1,2,263
label1,2,262
label1,2,261
label1,2,260
label1,2,259
label1,2,258
label1,2,257
label1,2,256
label1,2,255
label1,2,254
label1,2,253
label1,2,252
label1,2,251
label1,2,250
label1,2,249
label1,2,248
label1,2,247
label1,2,246
label1,2,245
label1,2,244
label1,2,243
label1,2,242
label1,2,241
label1,2,240
label1,2,239
label1,2,238
label1,2,237
label1,2,236
label1,2,235
label1,2,234
label1,2,233
label1,2,232
label1,2,231
label1,2,230
label1,2,229
label1,2,228
label1,2,227
label1,2,226
label1,2,225
label1,2,224
label1,2,223
label1,2,222
label1,2,221
label1,2,220
label1,2,219
label1,2,218
label1,2,217
label1,2,216
label1,2,215
label1,2,214
label1,2,213
label1,2,212
label1,2,211
label1,2,210
label1,2,209
label1,2,208
label1,2,207
label1,2,206
label1,2,205
label1,2,204
label1,2,203
label1,2,202
label1,2,201
label1,2,200
label1,2,199
label1,3,271
label1,3,270
label1,3,269
label1,3,268
label1,3,267
label1,3,266
label1,3,265
label1,3,264
label1,3,263
label1,3,262
label1,3,261
label1,3,260
label1,3,259
label1,3,258
label1,3,257
label1,3,256
label1,3,255
label1,3,254
label1,3,253
label1,3,252
label1,3,251
label1,3,250
label1,3,249
label1,3,248
label1,3,247
label1,3,246
label1,3,245
label1,3,244
label1,3,243
label1,3,242
label1,3,241
label1,3,240
label1,3,239
label1,3,238
label1,3,237
label1,3,236
label1,3,235
label1,3,234
label1,3,233
label1,3,232
label1,3,231
label1,3,230
label1,3,229
label1,3,228
label1,3,227
label1,3,226
label1,3,225
label1,3,224
label1,3,223
label1,3,222
label1,3,221
label1,3,220
label1,3,219
label1,3,218
label1,3,217
label1,3,216
label1,3,215
label1,3,214
label1,3,213
label1,3,212
label1,3,211
label1,3,210
label1,3,209
label1,3,208
label1,3,207
label1,3,206
label1,3,205
label1,3,204
label1,3,203
label1,3,202
label1,3,201
label1,3,200
label1,3,199
label1,3,198
label1,4,272
label1,4,271
label1,4,270
label1,4,269
label1,4,268
label1,4,267
label1,4,266
label1,4,265
label1,4,264
label1,4,263
label1,4,262
label1,4,261
label1,4,260
label1,4,259
label1,4,258
label1,4,257
label1,4,256
label1,4,255
label1,4,254
label1,4,253
label1,4,252
label1,4,251
label1,4,250
label1,4,249
label1,4,248
label1,4,247
label1,4,246
label1,4,245
label1,4,244
label1,4,243
label1,4,242
label1,4,241
label1,4,240
label1,4,239
label1,4,238
label1,4,237
label1,4,236
label1,4,235
label1,4,234
label1,4,233
label1,4,232
label1,4,231
label1,4,230
label1,4,229
label1,4,228
label1,4,227
label1,4,226
label1,4,225
label1,4,224
label1,4,223
label1,4,222
label1,4,221
label1,4,220
label1,4,219
label1,4,218
label1,4,217
label1,4,216
label1,4,215
label1,4,214
label1,4,213
label1,4,212
label1,4,211
label1,4,210
label1,4,209
label1,4,208
label1,4,207
label1,4,206
label1,4,205
label1,4,204
label1,4,203
label1,4,202
label1,4,201
label1,4,200
label1,4,199
label1,4,198
label1,5,272
label1,5,271
label1,5,270
label1,5,269
label1,5,268
label1,5,267
label1,5,266
label1,5,265
label1,5,264
label1,5,263
label1,5,262
label1,5,261
label1,5,260
label1,5,259
label1,5,258
label1,5,257
label1,5,256
label1,5,255
label1,5,254
label1,5,253
label1,5,252
label1,5,251
label1,5,250
label1,5,249
label1,5,248
label1,5,247
label1,5,246
label1,5,245
label1,5,244
label1,5,243
label1,5,242
label1,5,241
label1,5,240
label1,5,239
label1,5,238
label1,5,237
label1,5,236
label1,5,235
label1,5,234
label1,5,233
label1,5,232
label1,5,231
label1,5,230
label1,5,229
label1,5,228
label1,5,227
label1,5,226
label1,5,225
label1,5,224
label1,5,223
label1,5,222
label1,5,221
label1,5,220
label1,5,219
label1,5,218
label1,5,217
label1,5,216
label1,5,215
label1,5,214
label1,5,213
label1,5,212
label1,5,211
label1,5,210
label1,5,209
label1,5,208
label1,5,207
label1,5,206
label1,5,205
label1,5,204
label1,5,203
label1,5,202
label1,5,201
label1,5,200
label1,5,199
label1,5,198
label1,6,273
label1,6,272
label1,6,271
label1,6,270
label1,6,269
label1,6,268
label1,6,267
label1,6,266
label1,6,265
label1,6,264
label1,6,263
label1,6,262
label1,6,261
label1,6,260
label1,6,259
label1,6,258
label1,6,257
label1,6,256
label1,6,255
label1,6,254
label1,6,253
label1,6,252
label1,6,251
label1,6,250
label1,6,249
label1,6,248
label1,6,247
label1,6,246
label1,6,245
label1,6,244
label1,6,243
label1,6,242
label1,6,241
label1,6,240
label1,6,239
label1,6,238
label1,6,237
label1,6,236
label1,6,235
label1,6,234
label1,6,233
label1,6,232
label1,6,231
label1,6,230
label1,6,229
label1,6,228
label1,6,227
label1,6,226
label1,6,225
label1,6,224
label1,6,223
label1,6,222
label1,6,221
label1,6,220
label1,6,219
label1,6,218
label1,6,217
label1,6,216
label1,6,215
label1,6,214
label1,6,213
label1,6,212
label1,6,211
label1,6,210
label1,6,209
label1,6,208
label1,6,207
label1,6,206
label1,6,205
label1,6,204
label1,6,203
label1,6,202
label1,6,201
label1,6,200
label1,6,199
label1,6,198
label1,6,197
label1,7,273
label1,7,272
label1,7,271
label1,7,270
label1,7,269
label1,7,268
label1,7,267
label1,7,266
label1,7,265
label1,7,264
label1,7,263
label1,7,262
label1,7,261
label1,7,260
label1,7,259
label1,7,258
label1,7,257
label1,7,256
label1,7,255
label1,7,254
label1,7,253
label1,7,252
label1,7,251
label1,7,250
label1,7,249
label1,7,248
label1,7,247
label1,7,246
label1,7,245
label1,7,244
label1,7,243
label1,7,242
label1,7,241
label1,7,240
label1,7,239
label1,7,238
label1,7,237
label1,7,236
label1,7,235
label1,7,234
label1,7,233
label1,7,232
label1,7,231
label1,7,230
label1,7,229
label1,7,228
label1,7,227
label1,7,226
label1,7,225
label1,7,224
label1,7,223
label1,7,222
label1,7,221
label1,7,220
label1,7,219
label1,7,218
label1,7,217
label1,7,216
label1,7,215
label1,7,214
label1,7,213
label1,7,212
label1,7,211
label1,7,210
label1,7,209
label1,7,208
label1,7,207
label1,7,206
label1,7,205
label1,7,204
label1,7,203
label1,7,202
label1,7,201
label1,7,200
label1,7,199
label1,7,198
label1,7,197
label1,8,274
label1,8,273
label1,8,272
label1,8,271
label1,8,270
label1,8,269
label1,8,268
label1,8,267
label1,8,267
label1,8,266
label1,8,265
label1,8,264
label1,8,263
label1,8,262
label1,8,261
label1,8,260
label1,8,259
label1,8,258
label1,8,257
label1,8,256
label1,8,255
label1,8,254
label1,8,253
label1,8,252
label1,8,251
label1,8,250
label1,8,249
label1,8,248
label1,8,247
label1,8,246
label1,8,245
label1,8,244
label1,8,243
label1,8,242
label1,8,241
label1,8,240
label1,8,239
label1,8,238
label1,8,237
label1,8,236
label1,8,235
label1,8,234
label1,8,233
label1,8,232
label1,8,231
label1,8,230
label1,8,229
label1,8,228
label1,8,227
label1,8,226
label1,8,225
label1,8,224
label1,8,223
label1,8,222
label1,8,221
label1,8,220
label1,8,219
label1,8,218
label1,8,217
label1,8,216
label1,8,215
label1,8,214
label1,8,213
label1,8,212
label1,8,211
label1,8,210
label1,8,209
label1,8,208
label1,8,207
label1,8,206
label1,8,205
label1,8,204
label1,8,203
label1,8,201
label1,8,200
label1,8,199
label1,8,198
label1,8,197
label1,8,196
label1,9,274
label1,9,273
label1,9,272
label1,9,271
label1,9,270
label1,9,269
label1,9,268
label1,9,267
label1,9,266
label1,9,265
label1,9,264
label1,9,263
label1,9,262
label1,9,261
label1,9,260
label1,9,259
label1,9,258
label1,9,257
label1,9,256
label1,9,255
label1,9,254
label1,9,253
label1,9,252
label1,9,251
label1,9,250
label1,9,249
label1,9,248
label1,9,247
label1,9,246
label1,9,245
label1,9,244
label1,9,243
label1,9,242
label1,9,241
label1,9,240
label1,9,239
label1,9,238
label1,9,237
label1,9,236
label1,9,235
label1,9,234
label1,9,233
label1,9,232
label1,9,231
label1,9,230
label1,9,229
label1,9,228
label1,9,227
label1,9,226
label1,9,225
label1,9,224
label1,9,223
label1,9,222
label1,9,221
label1,9,220
label1,9,219
label1,9,218
label1,9,217
label1,9,216
label1,9,215
label1,9,214
label1,9,213
label1,9,212
label1,9,211
label1,9,210
label1,9,209
label1,9,208
label1,9,207
label1,9,206
label1,9,205
label1,9,204
label1,9,203
label1,9,202
label1,9,201
label1,9,200
label1,9,199
label1,9,198
label1,9,197
label1,9,196
label1,10,274
label1,10,273
label1,10,272
label1,10,271
label1,10,270
label1,10,269
label1,10,268
label1,10,267
label1,10,266
label1,10,265
label1,10,264
label1,10,263
label1,10,262
label1,10,261
label1,10,260
label1,10,259
label1,10,258
label1,10,257
label1,10,256
label1,10,255
label1,10,254
label1,10,253
label1,10,252
label1,10,251
label1,10,250
label1,10,249
label1,10,248
label1,10,247
label1,10,246
label1,10,245
label1,10,244
label1,10,243
label1,10,242
label1,10,241
label1,10,240
label1,10,239
label1,10,238
label1,10,237
label1,10,236
label1,10,235
label1,10,234
label1,10,233
label1,10,232
label1,10,231
label1,10,230
label1,10,229
label1,10,228
label1,10,227
label1,10,226
label1,10,225
label1,10,224
label1,10,223
label1,10,222
label1,10,221
label1,10,220
label1,10,219
label1,10,218
label1,10,217
label1,10,216
label1,10,215
label1,10,214
label1,10,213
label1,10,212
label1,10,211
label1,10,210
label1,10,209
label1,10,208
label1,10,207
label1,10,206
label1,10,205
label1,10,204
label1,10,203
label1,10,202
label1,10,201
label1,10,200
label1,10,199
label1,10,198
label1,10,197
label1,10,196
label1,11,274
label1,11,273
label1,11,272
label1,11,271
label1,11,270
label1,11,269
label1,11,268
label1,11,267
label1,11,266
label1,11,265
label1,11,264
